home_planet,cryo_sleep,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,group,number_in_group,deck,num_in_cabin,side,total_spending,age_category,gender
Earth,False,TRAPPIST-1e,37.0,False,28.0,25.0,26.0,806.0,3.0,1877,1,G,306,P,888.0,middle_adult,0.0
Earth,True,PSO J318.5-22,32.0,False,0.0,0.0,0.0,0.0,0.0,448,2,G,71,P,0.0,middle_adult,1.0
Europa,True,55 Cancri e,22.0,False,0.0,0.0,0.0,0.0,0.0,446,1,B,21,P,0.0,young_adult,0.0
Earth,False,TRAPPIST-1e,49.0,False,0.0,1738.0,0.0,19.0,0.0,7877,1,G,1268,P,1757.0,old_adult,0.0
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,4726,4,C,187,S,0.0,young_adult,1.0
Earth,False,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,8130,2,G,1308,S,0.0,child,0.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,179,2,G,26,P,0.0,child,0.0
Earth,False,PSO J318.5-22,28.0,False,0.0,0.0,0.0,669.0,16.0,7155,1,F,1375,S,685.0,young_adult,0.0
Europa,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,3543,3,C,116,P,0.0,old_adult,1.0
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,7.0,717.0,0.0,8545,1,F,1753,P,724.0,young_adult,0.0
Europa,False,TRAPPIST-1e,14.0,False,0.0,4545.0,271.0,199.0,1377.0,8023,1,D,249,P,6392.0,child,0.0
Earth,False,TRAPPIST-1e,18.0,False,765.0,0.0,13.0,0.0,0.0,1515,1,F,293,S,778.0,young_adult,0.0
Europa,False,55 Cancri e,53.0,False,0.0,2606.0,0.0,1170.0,0.0,6583,2,B,254,S,3776.0,old_adult,1.0
Earth,False,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,6787,6,F,1411,P,0.0,child,1.0
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,0.0,0.0,0.0,220,4,E,10,P,206.0,young_adult,1.0
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,3123,1,G,511,P,0.0,young_adult,0.0
Europa,False,55 Cancri e,65.0,False,19.0,1344.0,4.0,3190.0,8.0,753,2,A,4,P,4565.0,old_adult,1.0
Earth,False,TRAPPIST-1e,33.0,False,1042.0,50.0,0.0,9.0,0.0,5025,1,F,1024,P,1101.0,middle_adult,1.0
Mars,False,TRAPPIST-1e,37.0,False,50.0,0.0,343.0,2205.0,0.0,8604,1,F,1765,P,2598.0,middle_adult,1.0
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,35,1,D,1,P,2699.0,young_adult,0.0
Earth,False,TRAPPIST-1e,31.0,False,433.0,111.0,238.0,86.0,0.0,5050,1,F,1028,P,868.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,7741,1,G,1252,S,0.0,child,0.0
Earth,False,TRAPPIST-1e,74.0,False,571.0,0.0,0.0,277.0,0.0,3119,1,G,490,S,848.0,old_adult,0.0
Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,8366,1,G,1364,P,0.0,child,1.0
Europa,True,55 Cancri e,59.0,False,0.0,0.0,0.0,0.0,0.0,5126,1,C,200,S,0.0,old_adult,0.0
Europa,False,TRAPPIST-1e,43.0,False,2.0,3846.0,0.0,3.0,346.0,3735,1,D,119,S,4197.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,980.0,7.0,0.0,5458,1,E,351,S,987.0,young_adult,0.0
Europa,False,TRAPPIST-1e,35.0,True,247.0,436.0,459.0,1.0,1984.0,5748,1,A,53,P,3127.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,31.0,False,0.0,918.0,0.0,0.0,900.0,8164,1,G,1314,S,1818.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,42.0,False,0.0,0.0,213.0,166.0,1209.0,2764,1,E,189,S,1588.0,middle_adult,0.0
Earth,False,PSO J318.5-22,20.0,False,0.0,272.0,108.0,0.0,230.0,4358,1,F,818,S,610.0,young_adult,0.0
Europa,False,TRAPPIST-1e,28.0,False,0.0,2560.0,0.0,134.0,307.0,4453,1,D,149,P,3001.0,young_adult,1.0
Earth,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,7464,1,G,1207,P,0.0,child,0.0
Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,2409,2,G,390,P,0.0,young_adult,0.0
Earth,False,TRAPPIST-1e,33.0,False,41.0,417.0,0.0,42.0,308.0,6071,1,G,987,S,808.0,middle_adult,0.0
Earth,False,PSO J318.5-22,38.0,False,0.0,0.0,0.0,0.0,1381.0,1844,1,F,355,S,1381.0,middle_adult,1.0
Europa,False,55 Cancri e,46.0,False,1192.0,1736.0,17.0,21.0,0.0,992,3,D,35,S,2966.0,old_adult,1.0
Europa,False,TRAPPIST-1e,26.0,False,0.0,70.0,0.0,41.0,0.0,8920,1,D,280,P,111.0,young_adult,1.0
Earth,False,TRAPPIST-1e,13.0,False,0.0,7.0,0.0,1175.0,0.0,941,1,F,195,P,1182.0,child,0.0
Mars,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,1056,2,F,218,P,0.0,young_adult,1.0
Earth,False,TRAPPIST-1e,30.0,False,0.0,575.0,180.0,4.0,44.0,1187,1,F,228,S,803.0,young_adult,1.0
Mars,False,TRAPPIST-1e,17.0,False,3146.0,0.0,87.0,135.0,0.0,9029,1,D,287,P,3368.0,young_adult,1.0
Earth,False,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,646.0,138.0,3283,3,G,521,S,784.0,young_adult,1.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,17.0,103,1,F,24,S,17.0,young_adult,1.0
Europa,False,TRAPPIST-1e,28.0,True,0.0,14076.0,0.0,928.0,372.0,6921,4,C,255,S,15376.0,young_adult,1.0
Earth,False,TRAPPIST-1e,35.0,False,89.0,0.0,0.0,545.0,0.0,4152,1,F,853,P,634.0,middle_adult,0.0
Europa,False,55 Cancri e,40.0,True,0.0,21.0,0.0,1503.0,1392.0,7609,1,A,83,P,2916.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,8537,3,F,1643,S,0.0,child,1.0
Earth,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,6862,1,G,1115,S,0.0,old_adult,0.0
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,6137,3,G,994,S,0.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,29.0,False,0.0,10.0,0.0,5.0,975.0,6920,1,E,462,S,990.0,young_adult,1.0
Earth,True,PSO J318.5-22,15.0,False,0.0,0.0,0.0,0.0,0.0,3734,1,G,606,P,0.0,child,1.0
Mars,False,PSO J318.5-22,49.0,False,0.0,0.0,0.0,0.0,0.0,5625,2,E,352,P,0.0,old_adult,1.0
Europa,False,55 Cancri e,41.0,False,0.0,10049.0,214.0,5287.0,1845.0,7416,1,B,278,S,17395.0,middle_adult,1.0
Mars,False,TRAPPIST-1e,23.0,False,118.0,0.0,949.0,206.0,2071.0,4357,1,D,148,P,3344.0,young_adult,1.0
Earth,True,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,4661,6,G,757,P,0.0,child,0.0
Earth,False,55 Cancri e,36.0,False,0.0,0.0,700.0,0.0,0.0,6122,1,F,1267,P,700.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,838.0,27.0,834,1,F,173,P,865.0,middle_adult,0.0
Earth,False,PSO J318.5-22,43.0,False,0.0,168.0,3.0,0.0,452.0,4376,1,E,284,S,623.0,middle_adult,0.0
Earth,False,55 Cancri e,43.0,False,6.0,236.0,3.0,448.0,54.0,2444,1,F,506,P,747.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,63.0,False,0.0,104.0,0.0,599.0,0.0,4794,1,F,974,P,703.0,old_adult,0.0
Mars,False,TRAPPIST-1e,27.0,False,3482.0,1234.0,1155.0,0.0,0.0,1691,1,F,321,S,5871.0,young_adult,1.0
Earth,False,TRAPPIST-1e,14.0,False,399.0,22.0,458.0,506.0,187.0,7328,1,F,1410,S,1572.0,child,0.0
Earth,True,PSO J318.5-22,3.0,False,0.0,0.0,0.0,0.0,0.0,7650,3,G,1242,S,0.0,child,0.0
Europa,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,6191,3,A,59,P,0.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,888.0,0.0,278,1,F,0,S,888.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,25.0,False,0.0,205.0,0.0,0.0,549.0,4559,1,F,854,S,754.0,young_adult,0.0
Earth,False,TRAPPIST-1e,22.0,False,116.0,0.0,786.0,6.0,0.0,376,1,G,54,S,908.0,young_adult,0.0
Earth,True,55 Cancri e,3.0,False,0.0,0.0,0.0,0.0,0.0,2822,1,G,450,S,0.0,child,0.0
Earth,False,TRAPPIST-1e,22.0,False,12.0,746.0,802.0,58.0,0.0,2288,1,E,163,S,1618.0,young_adult,0.0
Mars,True,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,4798,3,F,975,P,0.0,child,1.0
Earth,False,55 Cancri e,28.0,False,0.0,9.0,0.0,1114.0,5.0,5453,1,F,1044,S,1128.0,young_adult,1.0
Earth,False,TRAPPIST-1e,36.0,False,0.0,17.0,204.0,559.0,3.0,9052,1,G,1457,S,783.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,906.0,8878,1,E,568,P,906.0,young_adult,1.0
Earth,False,TRAPPIST-1e,18.0,False,0.0,20.0,790.0,0.0,0.0,6404,1,G,1038,S,810.0,young_adult,0.0
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,1086,5,G,166,P,0.0,child,0.0
Europa,False,55 Cancri e,42.0,False,0.0,21.0,0.0,2735.0,3604.0,1380,1,C,53,S,6360.0,middle_adult,0.0
Europa,True,55 Cancri e,55.0,False,0.0,0.0,0.0,0.0,0.0,2875,1,B,107,S,0.0,old_adult,1.0
Earth,False,55 Cancri e,13.0,False,880.0,0.0,0.0,0.0,0.0,2353,2,F,457,S,880.0,child,1.0
Earth,False,TRAPPIST-1e,24.0,False,821.0,0.0,0.0,68.0,0.0,7366,1,G,1184,P,889.0,young_adult,1.0
Earth,False,55 Cancri e,17.0,False,319.0,184.0,0.0,0.0,376.0,1500,5,F,288,S,879.0,young_adult,1.0
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,2518,1,C,87,P,0.0,young_adult,1.0
Earth,False,PSO J318.5-22,22.0,False,623.0,0.0,0.0,0.0,53.0,9220,3,F,1886,P,676.0,young_adult,0.0
Europa,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,6843,2,B,260,S,0.0,young_adult,1.0
Mars,False,TRAPPIST-1e,32.0,False,1946.0,0.0,653.0,0.0,0.0,6042,1,F,1249,P,2599.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,52.0,False,0.0,0.0,0.0,0.0,0.0,1255,1,F,242,S,0.0,old_adult,1.0
Europa,True,55 Cancri e,33.0,False,0.0,0.0,0.0,0.0,0.0,1797,1,B,57,P,0.0,middle_adult,1.0
Europa,False,55 Cancri e,41.0,True,0.0,29813.0,0.0,1257.0,6.0,2215,1,A,27,S,31076.0,middle_adult,1.0
Mars,False,55 Cancri e,22.0,False,2229.0,0.0,1349.0,121.0,0.0,3093,1,E,194,P,3699.0,young_adult,1.0
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,4256,2,G,698,P,0.0,young_adult,0.0
Earth,False,TRAPPIST-1e,27.0,False,1771.0,0.0,242.0,0.0,37.0,8798,1,F,1706,S,2050.0,young_adult,1.0
Earth,False,TRAPPIST-1e,36.0,False,1367.0,108.0,0.0,0.0,77.0,4183,1,F,784,S,1552.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,6468,2,F,1339,P,0.0,child,1.0
Europa,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,3318,4,B,123,S,0.0,middle_adult,1.0
Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,6831,1,G,1111,P,0.0,young_adult,1.0
Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,1114,2,E,79,S,0.0,middle_adult,0.0
Mars,False,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,3060,3,E,201,S,0.0,old_adult,1.0
Europa,False,55 Cancri e,45.0,False,66.0,5974.0,0.0,0.0,625.0,7502,1,C,241,P,6665.0,middle_adult,1.0
Earth,False,55 Cancri e,38.0,False,8.0,0.0,1414.0,10.0,3.0,4431,1,G,727,P,1435.0,middle_adult,0.0
Mars,False,TRAPPIST-1e,26.0,False,17.0,0.0,1582.0,0.0,0.0,1834,1,F,354,S,1599.0,young_adult,1.0
Earth,False,TRAPPIST-1e,50.0,False,0.0,233.0,0.0,0.0,0.0,579,2,G,85,S,233.0,old_adult,0.0
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,86,1,F,17,P,1362.0,middle_adult,0.0
Earth,False,PSO J318.5-22,29.0,False,487.0,0.0,60.0,12.0,0.0,8212,1,F,1569,S,559.0,young_adult,0.0
Europa,True,55 Cancri e,37.0,False,0.0,0.0,0.0,0.0,0.0,3928,2,E,264,S,0.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,55.0,False,0.0,198.0,703.0,1.0,0.0,4199,1,F,787,S,902.0,old_adult,0.0
Earth,False,PSO J318.5-22,18.0,False,9.0,419.0,0.0,201.0,7.0,2591,1,F,499,S,636.0,young_adult,0.0
Mars,False,TRAPPIST-1e,42.0,False,1246.0,35.0,16.0,0.0,0.0,503,3,E,31,S,1297.0,middle_adult,1.0
Europa,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,3279,2,C,123,S,0.0,young_adult,1.0
Europa,False,55 Cancri e,24.0,False,25.0,3291.0,0.0,6075.0,179.0,4606,2,C,172,S,9570.0,young_adult,1.0
Europa,False,55 Cancri e,27.0,True,0.0,1337.0,1929.0,0.0,0.0,8307,1,A,100,S,3266.0,young_adult,1.0
Europa,False,55 Cancri e,34.0,False,2386.0,841.0,76.0,26.0,1693.0,1148,7,C,42,P,5022.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,4172,1,F,856,P,0.0,young_adult,1.0
Earth,False,55 Cancri e,17.0,False,0.0,0.0,615.0,0.0,0.0,8889,1,G,1439,P,615.0,young_adult,1.0
Earth,False,PSO J318.5-22,31.0,False,0.0,140.0,394.0,0.0,0.0,3133,1,G,513,P,534.0,middle_adult,0.0
Mars,False,TRAPPIST-1e,52.0,False,1222.0,2.0,74.0,0.0,0.0,8034,2,E,532,S,1298.0,old_adult,0.0
Europa,True,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,2755,1,B,85,P,0.0,middle_adult,0.0
Europa,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,1424,1,B,47,P,0.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,3961,1,F,749,S,0.0,middle_adult,1.0
Mars,False,TRAPPIST-1e,37.0,False,20.0,0.0,2559.0,20.0,0.0,2289,1,F,465,P,2599.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,3710,2,G,601,P,0.0,child,0.0
Europa,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,1154,1,B,43,P,0.0,young_adult,1.0
Mars,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,7058,1,F,1347,S,0.0,young_adult,1.0
Europa,False,TRAPPIST-1e,38.0,False,0.0,1793.0,479.0,9.0,4987.0,539,5,C,18,P,7268.0,middle_adult,1.0
Europa,False,55 Cancri e,53.0,False,0.0,13527.0,0.0,0.0,771.0,1854,1,A,22,S,14298.0,old_adult,1.0
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,303,1,G,41,S,0.0,young_adult,1.0
Europa,False,TRAPPIST-1e,20.0,False,0.0,3.0,0.0,1271.0,2630.0,4726,3,C,187,S,3904.0,young_adult,1.0
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,3382,2,G,553,P,0.0,old_adult,0.0
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,9179,1,G,1494,P,0.0,young_adult,1.0
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,4952,1,F,939,S,0.0,middle_adult,0.0
Earth,False,PSO J318.5-22,73.0,False,1806.0,0.0,47.0,0.0,0.0,8954,1,G,1452,P,1853.0,old_adult,0.0
Europa,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,4569,1,B,151,P,0.0,young_adult,1.0
Earth,False,TRAPPIST-1e,26.0,False,1577.0,2.0,0.0,30.0,0.0,713,1,E,50,S,1609.0,young_adult,0.0
Earth,False,TRAPPIST-1e,26.0,False,131.0,799.0,0.0,0.0,16.0,1155,1,F,233,P,946.0,young_adult,1.0
Earth,False,TRAPPIST-1e,57.0,False,0.0,20.0,157.0,21.0,689.0,1060,1,G,166,S,887.0,old_adult,1.0
Earth,False,TRAPPIST-1e,30.0,False,0.0,43.0,0.0,0.0,6.0,4564,1,G,745,P,49.0,young_adult,0.0
Earth,False,TRAPPIST-1e,21.0,False,42.0,606.0,1.0,38.0,100.0,7256,1,E,484,S,787.0,young_adult,0.0
Europa,False,TRAPPIST-1e,54.0,True,0.0,2853.0,0.0,0.0,1666.0,4790,1,B,189,S,4519.0,old_adult,1.0
Mars,True,TRAPPIST-1e,59.0,False,0.0,0.0,0.0,0.0,0.0,782,1,F,163,P,0.0,old_adult,1.0
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,9208,1,G,1485,S,0.0,middle_adult,1.0
Europa,False,55 Cancri e,30.0,False,278.0,3300.0,0.0,8145.0,2519.0,1308,2,E,94,S,14242.0,young_adult,0.0
Earth,False,TRAPPIST-1e,49.0,False,173.0,0.0,18.0,580.0,1.0,6910,1,G,1124,S,772.0,old_adult,0.0
Mars,False,TRAPPIST-1e,43.0,False,1086.0,4.0,202.0,401.0,0.0,5973,1,F,1139,S,1693.0,middle_adult,1.0
Mars,False,TRAPPIST-1e,16.0,False,424.0,0.0,246.0,370.0,0.0,3706,1,F,770,P,1040.0,child,0.0
Earth,False,TRAPPIST-1e,15.0,False,320.0,36.0,5.0,0.0,640.0,1721,1,F,341,P,1001.0,child,0.0
Europa,False,TRAPPIST-1e,26.0,False,0.0,0.0,8.0,21.0,6023.0,3071,2,B,113,S,6052.0,young_adult,0.0
Mars,False,TRAPPIST-1e,21.0,False,838.0,45.0,455.0,0.0,0.0,7986,1,F,1655,P,1338.0,young_adult,1.0
Mars,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,5073,1,F,1033,P,0.0,young_adult,0.0
Europa,False,TRAPPIST-1e,37.0,False,0.0,0.0,0.0,0.0,0.0,1045,1,C,38,P,0.0,middle_adult,1.0
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,85,1,C,5,S,0.0,middle_adult,1.0
Earth,False,55 Cancri e,18.0,False,0.0,0.0,0.0,63.0,525.0,6107,1,F,1263,P,588.0,young_adult,1.0
Earth,False,TRAPPIST-1e,21.0,False,380.0,177.0,161.0,0.0,85.0,8315,1,F,1598,S,803.0,young_adult,0.0
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,7219,5,C,235,P,0.0,middle_adult,1.0
Earth,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,1903,1,G,309,P,0.0,middle_adult,0.0
Europa,True,TRAPPIST-1e,27.0,True,0.0,0.0,0.0,0.0,0.0,7188,3,C,233,P,0.0,young_adult,1.0
Europa,True,55 Cancri e,34.0,False,0.0,0.0,0.0,0.0,0.0,6406,2,B,249,S,0.0,middle_adult,1.0
Europa,False,TRAPPIST-1e,42.0,False,3.0,2174.0,0.0,10860.0,2564.0,2645,2,C,95,S,15601.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,476,2,F,103,P,0.0,young_adult,1.0
Europa,False,TRAPPIST-1e,67.0,False,0.0,82.0,0.0,2279.0,293.0,8605,1,C,324,S,2654.0,old_adult,1.0
Earth,False,PSO J318.5-22,28.0,False,3.0,141.0,0.0,0.0,1689.0,2956,1,G,470,S,1833.0,young_adult,0.0
Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,6512,2,A,80,S,0.0,young_adult,1.0
Earth,False,PSO J318.5-22,44.0,False,0.0,178.0,482.0,0.0,0.0,1280,1,F,257,P,660.0,middle_adult,0.0
Europa,True,55 Cancri e,30.0,True,0.0,0.0,0.0,0.0,0.0,9158,1,B,298,P,0.0,young_adult,1.0
Earth,False,TRAPPIST-1e,20.0,False,781.0,0.0,33.0,0.0,0.0,8388,1,F,1724,P,814.0,young_adult,0.0
